composition,critical_temperature_tc
Ba0.2La1.8Cu1O4-Y,29.0
Ba0.1La1.9Ag0.1Cu0.9O4-Y,26.0
Ba0.1La1.9Cu1O4-Y,19.0
Ba0.15La1.85Cu1O4-Y,22.0
Ba0.3La1.7Cu1O4-Y,23.0
Ba0.5La1.5Cu1O4-Y,23.0
Ba1La1Cu1O4-Y,11.0
Sr0.1La1.9Cu1O4-Y,33.0
Sr0.15La1.85Cu1O4-Y,36.0
Sr0.2La1.8Cu1O4-Y,31.0
Sr0.3La1.7Cu1O4-Y,33.0
Ba0.3La1.7Hg0.3Cu0.7O4-Y,26.0
Ba0.1La1.9Ag0.05Cu0.95O4-Y,27.0
Ba0.1La1.9Ag0.1Cu0.9O4-Y,27.0
Ba0.1La1.9Ag0.25Cu0.75O4-Y,26.0
Ba0.1La1.9Ag0.5Cu0.5O4-Y,27.0
Y1Ba1.5Ca0.5Cu3O7-Z,82.0
Ba0.15La1.85Cu1O4-Y,30.0
La1.85Ba0.15Cu1O4,30.0
La1.85Sr0.15Cu1O4,39.0
La1.95Sr0.05Cu1O4-Y,14.8
La1.9Sr0.1Cu1O4-Y,30.0
La1.775Sr0.225Cu1O4-Y,35.5
La1.75Sr0.25Cu1O4-Y,23.3
La1.7Sr0.3Cu1O4-Y,18.2
La1.65Sr0.35Cu1O4-Y,18.3
La1.6Sr0.4Cu1O4-Y,18.3
La1.825Sr0.175Cu1O4-Y,37.5
La1.85Ca0.15Cu1O4-Y,20.0
Yb16Ba1Cu2Oz,76.9
Yb1.8Ba0.2Cu1Oz,65.3
Yb6Ba1Cu1Oz,78.6
Yb1.62La0.18Ba0.18Sr0.02Cu1Oz,79.3
Y0.4Ba0.6Cu1OX,90.0
Y0.4Ba0.6Cu1OX,90.5
Er0.5Ba0.5Cu1OX,92.0
Tm0.35Ba0.65Cu1OX,93.2
Tm0.3Ba0.7Cu1OX,94.4
Tm0.25Ba0.75Cu1OX,93.2
Tm0.2Ba0.8Cu1OX,80.5
La2Ba4Cu6O14+X,48.0
Y1Ba2Cu3OX,90.0
Y1.6Ba2.4Cu3O10-X,90.0
Y1.2Ba1.8Cu2O7-X,92.0
Y0.8Ba1.2Cu1O4-X,80.0
Nd0.4Ba0.6Cu1OX,85.0
Eu0.4Ba0.6Cu1O3-X,8.0
Gd0.4Ba0.6Cu1O3-X,13.0
Dy0.4Ba0.6Cu1O3-X,91.0
Ho0.4Ba0.6Cu1O3-X,94.0
Er0.4Ba0.6Cu1O3-X,93.0
Tm0.4Ba0.6Cu1O3-X,93.0
Lu0.4Ba0.6Cu1O3-X,91.0
Nd2Ba3Cu5OX,18.0
Sm1Ba2Cu3OX,43.0
Gd2Ba3Cu5OX,40.0
Y1Ba2Cu3OX,70.0
Y1Ba2Cu3OX,90.0
Y0.3Ba0.7Cu1O3-X,95.5
Y0.8Ba1.2Cu1OX,94.0
Y0.6Ba0.9Cu1OX,88.0
Ba0.3La1.7Hg0.15Cu0.85O4-Y,28.0
Ba0.3La1.7Hg0.15Cu0.85O4-Y,28.0
La1.85Sr0.15Cu1O4-Y,35.5
Yb1.6La0.2Ba0.2Cu1Oz,79.2
Sr0.35La1.65Cu1O4-Y,26.0
Y0.4Ba0.6Cu1OX,92.0
Yb0.4Ba0.6Cu1O3-X,88.0
Lu1.8Ba0.2Cu1O4,71.9
Y0.9Ba0.1Cu1O4,81.0
Ba0.15La1.85Cu1O4,28.0
Sr0.15La1.85Cu1O4,34.7
Sr0.2La1.8Cu0.95Ti0.05O4,21.0
Sr0.2La1.8Cu0.99V0.01O4,12.0
Sr0.2La1.8Cu0.99Cr0.01O4,22.0
Sr0.2La1.8Cu0.98Mn0.02O4,32.0
Sr0.2La1.8Cu0.95Fe0.05O4,30.0
Sr0.2La1.8Cu0.95Co0.05O4,16.0
Sr0.2La1.8Cu0.95Ni0.05O4,21.0
Sr0.2La1.8Cu0.99Zn0.01O4,29.0
Pr0.1La1.7Sr0.2Cu1O4,36.0
Nd0.1La1.7Sr0.2Cu1O4,35.0
Sm0.1La1.7Sr0.2Cu1O4,32.0
Gd0.1La1.7Sr0.2Cu1O4,30.0
Y1Ba2Cu2.85Fe0.15O7,51.0
Y1Ba2Cu2.7Fe0.3O7,33.0
Y1Ba2Cu2.97Fe0.03O7,82.0
Y1Ba2Cu2.94Fe0.06O7,60.0
Y1Ba2Cu2.88Fe0.12O7,54.0
Y1Ba2Cu3O7,90.0
Y1Ba2Cu3S1O6,90.0
Y1Ba2Cu3Cl1O6,72.0
Y1Ba2Cu3O7+Y,92.0
Y1Ba2Cu3O7,93.0
Y1Ba2Cu3O7-Y,92.0
Gd1Ba2Cu3O7-Y,94.5
La1.85Sr0.15Cu1O4,36.0
Y1Ba2Cu3O7,91.85
Y1Ba2Cu3O7,91.95
Y1Ba2Cu3O7,89.7
Y1Ba2Cu3O7,89.9
Ho1Ba2Cu3O8-X,85.0
Y0.1Gd0.9Ba2Cu3O8-X,90.5
Er1Ba2Cu3O7-X,275.0
Y1Ba2Cu3O7-X,130.0
Y1Ba2Cu3O7-X,88.8
Y1Ba2Cu3O7-X,90.0
Y1Ba2Cu3O7-X,85.5
Y3Ba5Cu4Nb1O18-X,77.3
Y1Ba2Cu3O7-X,90.0
Sm0.45Ba0.55Cu1O3-Y,69.0
Sm0.4Ba0.6Cu1O3-Y,84.3
Sm0.33Ba0.67Cu1O7-X,86.4
Sm0.3Ba0.7Cu1O3-Y,88.8
Sm0.25Ba0.75Cu1O3-Y,73.6
Sm0.2Ba0.8Cu1O3-Y,62.5
Sm0.35Ba0.65Cu1O3-Y,93.1
Y1Ba2Cu3O7,90.0
Y1Ba2Cu3O9-X,92.0
Bi2Sr2Cu2O7+Z,22.0
Bi1Sr1Cu1OY,6.5
Er1Ba2Cu3OX,85.5
Ho1Ba2Cu3OX,91.0
Gd1Ba2Cu3OX,93.0
Y1Ba2Cu3O6.9,95.0
Eu1.5Ba1.5Cu3Oz,89.5
Gd1.5Ba1.5Cu3Oz,92.5
Y1.5Ba1.5Cu3Oz,90.0
Yb1.5Ba1.5Cu3Oz,90.0
Y1Ba2Cu3O7,91.6
Y1Ba2Cu2.75Ni0.25O7,63.9
Y1Ba2Cu3O7,92.0
Y1Ba2Cu2.95Al0.05O7,88.0
Y1Ba2Cu2.9Al0.1O7,75.0
La1.85Sr0.15Cu1O4,39.3
La1.85Sr0.15Cu0.975Ni0.025O4,22.6
La1.85Sr0.15Cu0.95Ni0.05O4,4.2
Y1Ba2Cu2.89Al0.11O7,82.0
Y1Ba2Cu2.88Al0.12O7,51.0
Y1Ba2Cu2.87Al0.13O7,45.0
Y1Ba2Cu2.865Al0.135O7,45.0
Y1Ba2Cu2.82Al0.18O7,20.0
Y1Ba2Cu3O7-Z,92.4
Y1Ba2Cu3O6.8,91.6
Er1Ba2Cu3O7-Z,86.0
Y1Ba2Cu3H0.14O7,92.5
Y1Ba2Cu3H0.48O7,93.6
Y1Ba2Cu3H1O7,93.2
Y1Ba2Cu3O9-Z,90.0
Eu1Ba2Cu3O7.1,94.9
Gd1Ba2Cu3O7.08,93.8
Dy1Ba2Cu3O6.82,92.7
Ho1Ba2Cu3O6.71,92.9
Er1Ba2Cu3O6.82,92.4
Tm1Ba2Cu3O6.65,92.5
Yb1Ba2Cu3O6.71,87.0
Lu1Ba2Cu3O7-X,89.5
Y1Ba2Cu3O6.72,93.4
Nd1Ba2Cu3O7.16,95.3
Sm1Ba2Cu3O7.11,93.5
La1.85Sr0.15Cu1O4,37.1
Y1Ba2Cu3O7-X,88.8
La1.85Sr0.15Cu1O4-Z,33.0
Y1Ba2.01Cu2.81Ni0.19O6.7,65.0
Y1Ba2.02Cu2.18Zn0.82O7,30.0
Y1Ba1.99Cu2.847Ag0.153O6.7,86.0
Y1Ba2Cu2.902Pt0.098O6.4,81.0
Y1Ba2.01Cu2.7Co0.3O6.8,36.0
Y1.01Ba2.01Cu2.906Ni0.094O6.7,71.0
Y1Ba2Cu2.697Mn0.303O6.9,63.0
Y1Ba2Cu2.844Fe0.156O7,57.0
Y1.01Ba2.01Cu2.697Fe0.303O,36.0
Y1Ba2Cu3O6.9,88.0
Y0.99Ba1.99Cu2.847Li0.153O6.4,62.0
Y1.01Ba2.03Cu2.808Li0.192O6.6,33.0
Y1Ba2Cu2.85Fe0.15O7-Z,50.0
Y1Ba2Cu2.85Fe0.15O7-Z,57.0
Y1Ba2Cu2.7Fe0.3O7-Z,4.0
Y1Ba2Cu3O7-Z,91.0
Y1Ba2Cu2.955Fe0.045O7-Z,74.0
Y1Ba2Cu2.955Fe0.045O7-Z,59.0
Y1Ba2Cu2.895Fe0.105O7-Z,61.0
Y1Ba2Cu3F0.825O,90.5
Y1Ba2Cu3F1.65O5.675,90.3
Y1Ba2Cu3F0.066Oz,93.4
Y1Ba2Cu3F0.066Oz,92.2
Y1Ba2Cu3F0.165Oz,91.6
Y1Ba2Cu3F0.016Oz,90.8
Y1Ba2Cu3F0.033Oz,92.1
Y1Ba2Cu3F0.05Oz,92.5
Y1Ba2Cu3Oz,90.0
Y1Ba2Cu3Oz,86.0
Gd1Ba2Cu3Oz,87.0
Er1Ba2Cu3OX,90.0
Dy1Ba2Cu3OX,92.0
Ho1Ba2Cu3OX,90.0
Y1Ba2Cu3O7,93.0
Y1Ba2Cu3OX,92.0
La1.85Sr0.15Cu1O4-X,34.0
La1.85Sr0.15Cu0.995Ni0.005O4-X,30.5
La1.85Sr0.15Cu0.99Ni0.01O4-X,30.5
La1.85Sr0.15Cu0.98Ni0.02O4-X,23.0
La1.85Sr0.15Cu0.97Ni0.03OX,24.0
Tl2Ca2Ba1Cu3OX,110.0
Tl2Ca2Ba2Cu3OX,110.0
Y1Ba2Cu3Oz,93.5
Y1Ba2Cu2.85Ti0.15Oz,94.0
Y1Ba2Cu2.7Ti0.3Oz,92.5
Y1Ba2Cu2.55Ti0.45Oz,92.5
Y1Ba2Cu2.4Ti0.6Oz,93.5
Y1Ba2Cu2.25Ti0.75Oz,88.0
Y1Ba2Cu2.1Ti0.9Oz,83.5
Bi1Sr1Ca1Cu2Oz,110.0
Bi2Sr1.8Ca1.2Cu2Oz,75.0
Bi2Sr3Ca4Cu8Oz,104.0
Bi1Sr1Ca1Cu2Oz,106.0
La1.85Sr0.15Cu0.925Zn0.025O4,15.0
Y1Ba2Cu3O7-Z,91.5
Y1Ba2Cu2.841Co0.159O6.8,54.0
Y1Ba2.01Cu2.806Cr0.194O7.3,62.0
Y1Ba2Cu3O6.74,91.0
Y1Ba2Cu2.98Fe0.02O6.93,91.8
Y1Ba2Cu2.95Fe0.05O6.92,91.8
Y1Ba2Cu2.9Fe0.1O6.92,76.0
Y1Ba2Cu2.8Fe0.2O6.93,49.0
Y1Ba2Cu2.6Fe0.4O7,31.0
Y1Ba2Cu2.95Al0.05O6.93,91.0
Y1Ba2Cu2.9Al0.1O6.93,92.0
Y1Ba2Cu2.8Al0.2O6.91,85.0
Y1Ba2Cu2.7Al0.3O6.99,73.0
Y1Ba2Cu2.6Al0.4O7,42.0
Y1Ba2Cu2.9Ni0.1O6.87,55.0
Y1Ba2Cu2.8Ni0.2O6.82,45.0
Y1Ba2Cu2.98Co0.02O6.9,93.4
Y1Ba2Cu2.95Co0.05O6.92,94.3
Y1Ba2Cu2.9Co0.1O6.82,73.0
Y1Ba2Cu2.8Co0.2O6.83,53.0
Y1Ba2Cu2.7Co0.3O6.88,22.0
Y1Ba2Cu2.7Ni0.3O6.97,40.0
Y1Ba2Cu2.9Zn0.1O6.81,55.0
Y1Ba2Cu2.8Zn0.2O6.79,45.0
Y1Ba2Cu2.7Zn0.3O6.74,45.0
Y1Ba2Cu3O6.85,92.0
Gd1Ba2Cu3OX,96.4
Gd1Ba1.8Sr0.2Cu3OX,94.7
Gd1Ba1.6Sr0.4Cu3OX,92.4
Gd1Ba1.4Sr0.6Cu3Oz,89.4
Gd1Ba1.2Sr0.8Cu3Oz,90.7
Gd1Ba1Sr1Cu3Oz,88.6
La2.89Na0.11Cu1O4-X,16.0
La2.89Na0.41Cu1O4-X,18.0
